SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
14:30,14:35,TIGERAIR SINGAPORE,TR2279,Jakarta,2,38,Landed
14:30,14:41,FIREFLY,FY3511,Subang,2,35,Landed
14:35,15:19,TIGERAIR SINGAPORE,TR2203,Bandung,2,35,Landed
14:40,14:32,BIMAN BANGLADESH AIRLINES,BG84,Dhaka,1,23,Landed
14:40,14:32,TIGERAIR SINGAPORE,TR2063,Hong Kong,2,36,Landed
14:40,14:54,TIGERAIR SINGAPORE,TR2183,Krabi,2,31,Landed
14:40,15:54,GOLDEN MYANMAR AIRLINES,Y5233,Mandalay via Yangon,1,20,Landed
14:45,14:27,SILKAIR (SINGAPORE) PTE LTD,MI141,Makassar,2,34,Landed
14:45,14:38,MALAYSIA AIRLINES,MH623,Kuala Lumpur,2,34,Landed
14:45,15:04,XIAMEN AIRLINES,MF865,Hangzhou via Fuzhou,1,16,Landed
14:50,14:46,VIETNAM AIRLINES,VN661,Hanoi,3,47,Landed
14:50,15:41,TIGERAIR SINGAPORE,TR2987,Guangzhou,2,38,Landed
14:55,14:52,JETSTAR,3K692,Hong Kong,1,18,Landed
14:55,15:00,TIGERAIR SINGAPORE,TR2935,Haikou,2,36,Landed
15:00,14:56,EMIRATES AIR,EK354,Dubai,1,19,Landed
15:05,,SCOOT,TZ89,Tianjin,2,,Cancelled
15:05,16:17,CATHAY PACIFIC AIRWAYS,CX739,Hong Kong,1,21,Landed
15:10,14:42,JETSTAR,3K520,Bangkok (Suvarnabhumi),1,20,Landed
15:10,15:02,CATHAY PACIFIC AIRWAYS,CX713,Hong Kong via Bangkok (Suvarnabhumi),1,22,Landed
15:10,15:11,SINGAPORE AIRLINES LTD,SQ997,Yangon,3,41,Landed
15:15,14:48,SINGAPORE AIRLINES LTD,SQ805,Beijing,2,32,Landed
15:15,15:09,QATAR AIRWAYS,QR944,Doha,3,43,Landed
15:15,15:35,XIAMEN AIRLINES,MF851,Zhengzhou via Xiamen,1,16,Landed
15:20,15:17,SILKAIR (SINGAPORE) PTE LTD,MI622,Siem Reap via Phnom Penh,2,33,Landed
15:20,15:21,KLM ROYAL DUTCH AIRLINES,KL835,Amsterdam,1,17,Landed
15:20,15:27,SINGAPORE AIRLINES LTD,SQ631,Tokyo (Haneda),3,42,Landed
15:25,15:08,SINGAPORE AIRLINES LTD,SQ655,Fukuoka,2,34,Landed
15:25,15:13,SINGAPORE AIRLINES LTD,SQ173,Ho Chi Minh,2,38,Landed
15:30,15:15,SINGAPORE AIRLINES LTD,SQ256,Brisbane,3,44,Landed
15:30,15:46,INDONESIA AIRASIA,QZ506,Bali-Denpasar,1,18,Landed
15:30,15:47,SILKAIR (SINGAPORE) PTE LTD,MI327,Kuala Lumpur,2,37,Landed
15:35,,SILKAIR (SINGAPORE) PTE LTD,MI235,Medan,2,,Cancelled
15:35,14:50,CHINA EASTERN AIRWAYS,MU567,Shanghai,3,42,Landed
15:35,15:23,JETSTAR,3K686,Kuala Lumpur,1,18,Landed
15:35,15:58,SINGAPORE AIRLINES LTD,SQ943,Bali-Denpasar,2,35,Landed
15:40,15:37,SINGAPORE AIRLINES LTD,SQ975,Bangkok (Suvarnabhumi),2,36,Landed
15:40,15:51,AIRASIA,AK715,Kuala Lumpur,1,21,Landed
15:40,16:04,CEBU PACIFIC AIR,5J537,Clark,2,31,Landed
15:50,15:40,BRITISH AIRWAYS,BA11,London,1,19,Landed
15:50,15:43,JETSTAR,3K582,Yangon,1,22,Landed
