GANTRY NO.,LOCATION,START TIME,END TIME,PRICE
92,MCE eastbound after entry from Maxwell Road,1905,1925,1
93,MCE eastbound on slip road after Marina Boulevard,1905,1925,1
51,CTE northbound between Jalan Bahagia and PIE,1925,1930,1
46,CTE northbound between PIE and Braddell Road,1925,1930,1
67,PIE to CTE northbound before Braddell Road,1925,1930,1
73,ECP Eastbound before KPE,1925,1930,0.5
92,MCE eastbound after entry from Maxwell Road,1925,1930,0.5
93,MCE eastbound on slip road after Marina Boulevard,1925,1930,0.5
51,CTE northbound between Jalan Bahagia and PIE,1930,1935,1
46,CTE northbound between PIE and Braddell Road,1930,1935,0.5
67,PIE to CTE northbound before Braddell Road,1930,1935,0.5
51,CTE northbound between Jalan Bahagia and PIE,1935,1955,1
46,CTE northbound between PIE and Braddell Road,1935,1955,0.5
67,PIE to CTE northbound before Braddell Road,1935,1955,0.5
51,CTE northbound between Jalan Bahagia and PIE,1955,2000,0.5
46,CTE northbound between PIE and Braddell Road,1955,2000,0.5
67,PIE to CTE northbound before Braddell Road,1955,2000,0.5
